bearID,sampleDate,sampleTime,latitude,longitude,agency,sex,bearAge,ageCode,cubAgeClass,reproClass,SLBL,correctedSLBL,girth,mass,cortisolAssay_pg_mg,,
1,1985-05-11,18:57,70.6167,-147.3667,usgs,F,16,A,C0,IF,191,204.76,117,204.12,8.6381,,
1,1988-10-20,14:47,70.4333,-146.9833,usgs,F,19,A,C0,E0,NA,NA,NA,NA,3.5812,,
2,1984-03-28,14:07,71.5333,-155.5333,usgs,F,13,A,C1,E0,188,201.76,118,215.46,5.0706,,
3,1984-04-09,13:19,70.6167,-147.0667,usgs,F,11,A,NA,UF,189,202.76,127,240.40,5.2555,,
4,1984-05-06,12:16,70.7167,-148.1333,usgs,M,16,A,NA,AM,222,237.65,169,444.97,7.2981,,
5,1984-05-06,9:46,70.6167,-147.4167,usgs,F,11,A,NA,UF,173,186.76,115,181.44,5.4654,,
6,1985-05-01,17:00,70.2000,-144.5000,usgs,F,15,A,C0,IF,179,192.76,114,188.24,4.7250,,
7,1984-05-05,17:45,70.3167,-141.5833,usgs,F,10,A,C1,E0,NA,NA,NA,NA,4.3604,,
8,1984-03-28,16:23,71.5667,-155.4167,usgs,F,10,A,C0,IF,179,192.76,120,181.44,6.0689,,
9,1983-10-25,10:32,70.8000,-147.3000,usgs,F,9,A,C0,E0,NA,NA,NA,NA,3.0380,,
9,1989-04-01,18:09,70.6833,-147.7667,usgs,F,15,A,C0,IF,NA,NA,NA,NA,2.6035,,
10,1983-04-30,13:26,69.8667,-141.0333,usgs,M,14,A,NA,AM,231,246.65,173,462.66,6.0059,,
11,1988-11-06,14:38,70.2000,-143.2667,usgs,F,18,A,C0,E0,NA,NA,NA,NA,4.2554,,
12,1985-04-06,18:30,70.2167,-143.1000,usgs,M,8,A,NA,AM,219,234.65,165,430.91,4.3003,,
13,1984-05-05,11:20,71.3000,-143.6833,usgs,F,12,A,C0,IF,189,202.76,116,154.22,6.1468,,
13,1985-05-15,16:27,71.0667,-147.7000,usgs,F,13,A,C1,E0,186,199.76,111,195.04,5.4728,,
14,1983-05-02,17:04,70.1333,-141.7500,usgs,F,3,S,NA,SF,170,182.41,112,170.10,4.6128,,
15,1983-05-05,11:26,70.2500,-142.1000,usgs,F,2,D,NA,DY,NA,NA,NA,NA,5.1202,,
16,1983-10-04,10:39,70.3667,-143.0167,usgs,F,10,A,C0,E0,NA,NA,NA,NA,3.3003,,
17,1983-10-05,10:46,70.5500,-143.8000,usgs,F,4,S,NA,SF,NA,NA,NA,NA,3.0274,,
18,1983-10-20,10:08,70.8167,-148.2500,usgs,M,5,A,NA,AM,NA,NA,NA,NA,3.3219,,
19,1983-10-21,11:19,71.1167,-146.3333,usgs,M,8,A,NA,AM,NA,NA,NA,NA,4.9017,,
20,1983-10-21,15:26,70.5167,-147.1500,usgs,M,3,S,NA,SM,NA,NA,NA,NA,3.3151,,
21,1983-10-22,10:03,70.7833,-146.5333,usgs,M,3,S,NA,SM,NA,NA,NA,NA,3.3599,,
22,1983-10-22,13:50,70.8167,-147.2500,usgs,F,4,S,NA,SF,NA,NA,NA,NA,3.5896,,
23,1983-10-23,9:41,70.6333,-147.4333,usgs,F,3,S,NA,SF,NA,NA,NA,NA,3.1515,,
24,1983-10-23,12:07,71.3333,-146.8500,usgs,F,2,S,NA,SF,NA,NA,NA,NA,4.2246,,
